codigo_ibg,UF,MUNIC,DMU,Score,Beta,Área_prop,Orient_tecn,Queimada,Agricultura_ organ,Trabalho_infantil,Laço_parentesco,Financiamento,Sabem_ ler,Köppen,Altitude,T_Mean,R_Mean,X,Y
1303403,Amazonas,      Parintins,120,0.885165,0.1297333,0.90,0.00,0.98,0.01,0.07,0.86,0.96,0.15,Af,25.22,27.49,193.25,-56.8500,-2.6900
1303502,Amazonas,      Pauini,121,0.74327,0.3454061,0.68,0.01,1.00,0.00,0.08,0.85,0.98,0.57,Af,161.94,24.75,226.12,-68.2000,-7.7600
1303536,Amazonas,      Presidente Figueiredo,122,0.759961,0.3158577,0.77,0.00,1.00,0.00,0.07,0.86,0.97,0.29,Af,98.07,26.53,205.36,-59.9900,-1.3700
1303569,Amazonas,      Rio Preto da Eva,123,0.787841,0.2692919,0.83,0.00,1.00,0.00,0.13,0.73,0.97,0.24,Af,92.65,26.78,191.29,-59.6400,-2.5300
1303601,Amazonas,      Santa Isabel do Rio Negro,124,0.759605,0.3164743,0.41,0.00,1.00,0.00,0.07,0.86,1.00,0.65,Af,124.36,24.94,274.63,-65.5200,-0.3200
1303700,Amazonas,      Santo Antônio do Içá,125,0.60106,0.663728,0.92,0.00,1.00,0.01,0.12,0.75,0.97,0.40,Af,94.86,24.37,265.60,-69.0900,-3.0500
1303809,Amazonas,      São Gabriel da Cachoeira,126,0.625587,0.5984991,0.99,0.00,0.99,0.00,0.03,0.94,1.00,0.43,Af,116.70,24.04,301.64,-68.0000,0.3700
1303908,Amazonas,      São Paulo de Olivença,127,0.559441,0.7874991,0.87,0.00,0.98,0.00,0.11,0.77,1.00,0.56,Af,126.81,24.32,249.55,-69.4500,-4.5000
1303957,Amazonas,      São Sebastião do Uatumã,128,0.651844,0.5341095,0.99,0.01,1.00,0.00,0.08,0.84,0.89,0.18,Af,94.09,26.86,190.04,-58.7000,-1.9500
1304005,Amazonas,      Silves,129,0.790801,0.2645409,0.99,0.00,1.00,0.02,0.02,0.95,0.93,0.08,Af,60.65,27.12,173.82,-58.5400,-2.8200
1304062,Amazonas,      Tabatinga,130,0.856315,0.1677939,0.96,0.00,1.00,0.00,0.17,0.65,1.00,0.74,Af,97.02,24.28,253.60,-69.6800,-4.0300
1304104,Amazonas,      Tapauá,131,0.885686,0.1290684,0.90,0.00,1.00,0.00,0.09,0.81,0.99,0.65,Af,85.84,25.89,235.00,-64.9600,-6.0900
1304203,Amazonas,      Tefé,132,0.746247,0.3400396,0.83,0.00,0.99,0.00,0.07,0.85,0.91,0.59,Af,86.29,25.65,233.74,-65.5300,-4.4700
1304237,Amazonas,      Tonantins,133,0.649797,0.5389428,0.94,0.00,0.99,0.00,0.09,0.83,1.00,0.51,Af,88.05,24.77,271.22,-67.8300,-2.6900
1304260,Amazonas,      Uarini,134,0.602069,0.6609385,0.88,0.00,1.00,0.00,0.03,0.95,0.96,0.55,Af,70.76,25.61,236.27,-65.4100,-3.1700
1304302,Amazonas,      Urucará,135,0.674885,0.481733,1.00,0.00,1.00,0.03,0.02,0.95,0.81,0.10,Af,131.71,26.49,202.70,-59.0300,-0.8900
1304401,Amazonas,      Urucurituba,136,0.900942,0.1099496,0.90,0.00,1.00,0.00,0.05,0.90,0.90,0.44,Af,13.00,27.42,182.33,-57.7700,-2.8100
1400027,Roraima,      Amajari,137,0.581298,0.7202882,0.96,0.00,1.00,0.01,0.05,0.91,0.99,0.66,Am,396.94,23.79,217.63,-62.4400,3.7300
1400050,Roraima,      Alto Alegre,138,0.601005,0.6638802,0.98,0.08,0.96,0.01,0.08,0.83,0.97,0.71,Am,445.62,23.76,228.36,-62.7600,3.0800
1400100,Roraima,      Boa Vista,139,0.665297,0.503089,0.95,0.00,1.00,0.02,0.06,0.87,0.97,0.60,Am,87.63,25.42,150.70,-60.7200,3.1200
1400159,Roraima,      Bonfim,140,0.700529,0.4274936,0.96,0.00,1.00,0.00,0.06,0.88,0.96,0.54,Am,125.70,25.51,161.79,-60.1000,2.7900
1400175,Roraima,      Cantá,141,0.626128,0.5971164,0.90,0.00,0.93,0.00,0.08,0.82,0.95,0.61,Am,146.81,25.48,161.77,-60.5400,2.2700
1400209,Roraima,      Caracaraí,142,0.738052,0.3549185,0.93,0.00,0.93,0.00,0.04,0.91,0.93,0.45,Af,107.84,25.73,209.39,-61.4700,0.9900
1400233,Roraima,      Caroebe,143,0.725104,0.3791131,1.00,0.01,0.97,0.00,0.10,0.79,0.95,0.57,Af,219.43,25.77,207.54,-59.3400,0.9100
1400282,Roraima,      Iracema,144,0.795857,0.256507,0.99,0.01,1.00,0.00,0.06,0.88,0.94,0.60,Am,313.08,24.52,223.77,-62.4500,2.1900
1400308,Roraima,      Mucajaí,145,0.691752,0.4456038,0.98,0.00,0.98,0.03,0.12,0.75,0.83,0.44,Am,217.67,24.86,200.33,-62.0000,2.5100
1400407,Roraima,      Normandia,146,0.572841,0.7456864,0.85,0.02,0.99,0.02,0.11,0.78,0.97,0.40,Am,179.46,24.99,167.57,-60.0700,3.8800
1400456,Roraima,      Pacaraima,147,0.752691,0.3285673,0.87,0.01,1.00,0.03,0.05,0.83,0.97,0.34,Am,349.74,24.13,168.54,-60.8400,4.1700
1400472,Roraima,      Rorainópolis,148,0.731242,0.367536,0.99,0.00,0.84,0.00,0.08,0.84,0.94,0.47,Af,64.26,26.20,216.78,-61.0100,0.0400
1400506,Roraima,      São João da Baliza,149,0.613066,0.6311467,0.97,0.02,0.97,0.01,0.07,0.85,0.86,0.41,Af,147.20,26.01,210.06,-59.8500,0.6400
1400605,Roraima,      São Luiz,150,0.638528,0.5661029,0.91,0.00,0.96,0.00,0.03,0.92,0.91,0.29,Af,121.64,25.99,207.38,-60.1500,0.8800
1400704,Roraima,      Uiramutã,151,0.661201,0.5123991,0.11,0.00,1.00,0.00,0.15,0.69,1.00,0.44,Am,759.87,22.58,156.35,-60.2800,4.6800
1500107,Pará,      Abaetetuba,152,1,0,0.94,0.00,0.99,0.00,0.02,0.95,0.90,0.34,Af,13.29,27.97,246.67,-48.8800,-1.7300
1500131,Pará,      Abel Figueiredo,153,1,0,0.98,0.00,1.00,0.00,0.06,0.87,0.86,0.42,Aw,212.29,27.13,149.71,-48.4200,-4.9600
1500206,Pará,      Acará,154,0.65395,0.5291678,0.89,0.00,0.99,0.00,0.04,0.92,0.95,0.29,Af,34.87,27.88,235.10,-48.4100,-2.0400
1500305,Pará,      Afuá,155,0.680292,0.469958,0.70,0.00,1.00,0.00,0.01,0.97,0.99,0.64,Am,11.92,27.75,236.01,-50.7300,-0.2600
1500347,Pará,      Água Azul do Norte,156,0.70902,0.4103979,0.98,0.00,1.00,0.00,0.05,0.87,0.91,0.29,Am,313.60,26.65,184.39,-50.4300,-6.7700
1500404,Pará,      Alenquer,157,1,0,0.99,0.00,1.00,0.00,0.08,0.84,0.87,0.28,Am,316.49,26.17,181.75,-55.0400,-0.6000
1500503,Pará,      Almeirim,158,0.778646,0.2842806,0.96,0.00,1.00,0.00,0.07,0.85,0.92,0.38,Am,271.02,26.31,212.07,-53.8900,0.2800
1500602,Pará,      Altamira,159,0.582386,0.7170733,0.98,0.00,1.00,0.00,0.07,0.84,0.94,0.52,Am,266.33,26.81,222.61,-53.8900,-6.4900
1500701,Pará,      Anajás,160,1,0,0.95,0.00,1.00,0.00,0.02,0.96,0.99,0.61,Am,19.92,27.82,245.30,-49.9600,-0.8300
1500800,Pará,      Ananindeua,161,0.608149,0.644335,1.00,0.00,1.00,0.00,0.13,0.72,1.00,0.28,Af,15.77,27.91,248.61,-48.3800,-1.3300
1500859,Pará,      Anapu,162,0.616652,0.6216592,0.71,0.00,1.00,0.00,0.07,0.84,0.94,0.46,Am,144.96,27.47,228.49,-51.3000,-4.0000
1500909,Pará,      Augusto Corrêa,163,0.616062,0.623212,0.90,0.00,0.99,0.00,0.04,0.92,0.92,0.41,Am,26.43,27.77,202.95,-46.5100,-1.1100
1500958,Pará,      Aurora do Pará,164,0.673642,0.4844691,0.98,0.00,1.00,0.01,0.03,0.93,0.86,0.43,Am,47.52,27.82,218.43,-47.7300,-2.2300
1501006,Pará,      Aveiro,165,0.579158,0.7266449,0.72,0.00,1.00,0.01,0.04,0.91,0.97,0.33,Af,97.51,27.37,197.97,-56.0200,-3.6700
1501105,Pará,      Bagre,166,0.575338,0.7381084,0.93,0.00,1.00,0.00,0.03,0.94,0.96,0.54,Af,30.93,27.93,225.04,-50.1800,-2.3700
1501204,Pará,      Baião,167,0.601162,0.6634448,0.92,0.00,0.99,0.00,0.04,0.88,0.93,0.32,Am,40.53,27.95,217.40,-49.7000,-3.1300
